"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_2379122385499756","Apidae","Apini","Apis","Apis cerana",1.36896,103.8266,2019
"PHOTO_2446511515427509","Apidae","Apini","Apis","Apis cerana",1.36201,103.777382,2019
"PHOTO_2506959136049413","Apidae","Apini","Apis","Apis cerana",1.446687,103.730106,2019
"PHOTO_2534705339941459","Apidae","Apini","Apis","Apis cerana",1.31312,103.78001,2019
"PHOTO_2611740148904644","Apidae","Apini","Apis","Apis cerana",1.35716,103.82102,2019
"PHOTO_2722416431170348","Apidae","Apini","Apis","Apis cerana",1.3359,103.8877,2020
"PHOTO_2778161472262510","Apidae","Apini","Apis","Apis cerana",1.36201,103.777382,2020
"PHOTO_3524138377664812","Apidae","Apini","Apis","Apis cerana",1.376272,103.950853,2020
"PHOTO_3730953440316637","Apidae","Apini","Apis","Apis cerana",1.446637,103.779688,2021
"PHOTO_3735050599906921","Apidae","Apini","Apis","Apis cerana",1.36896,103.8266,2021
"PHOTO_3738107639601217","Apidae","Apini","Apis","Apis cerana",1.279088,103.799606,2021
"PHOTO_3738106226268025","Apidae","Apini","Apis","Apis cerana",1.384448,103.746698,2021
"PHOTO_3742808462464468","Apidae","Apini","Apis","Apis cerana",1.35897,103.85053,2021
"PHOTO_3758563150888999","Apidae","Apini","Apis","Apis cerana",1.311309,103.778104,2021
"PHOTO_3758615994217048","Apidae","Apini","Apis","Apis cerana",1.4533,103.82457,2021
"PHOTO_3774962002582447","Apidae","Apini","Apis","Apis cerana",1.418109,103.783638,2021
"PHOTO_3879917862086860","Apidae","Apini","Apis","Apis cerana",1.401472,103.817675,2021
"PHOTO_3895287657216547","Apidae","Apini","Apis","Apis cerana",1.35716,103.82102,2021
"PHOTO_3900479033364076","Apidae","Apini","Apis","Apis cerana",1.345705,103.951765,2021
"PHOTO_3901428973269082","Apidae","Apini","Apis","Apis cerana",1.455586,103.818041,2021
"PHOTO_3932262800185699","Apidae","Apini","Apis","Apis cerana",1.390585,103.803225,2021
"PHOTO_3962209210524391","Apidae","Apini","Apis","Apis cerana",1.390585,103.803225,2021
"PHOTO_3996249793786999","Apidae","Apini","Apis","Apis cerana",1.36201,103.777382,2021
"PHOTO_4001631063248872","Apidae","Apini","Apis","Apis cerana",1.36201,103.777382,2021
"PHOTO_4001622629916382","Apidae","Apini","Apis","Apis cerana",1.446637,103.779688,2021
"PHOTO_4028156237263021","Apidae","Apini","Apis","Apis cerana",1.35716,103.82102,2021
"PHOTO_4046395085439136","Apidae","Apini","Apis","Apis cerana",1.411189,103.959314,2021
"PHOTO_1786690881409579","Apidae","Apini","Apis","Apis dorsata",1.415774,103.861175,2018
"PHOTO_1855482827863717","Apidae","Apini","Apis","Apis dorsata",1.36201,103.777382,2018
"PHOTO_1881786295233370","Apidae","Apini","Apis","Apis dorsata",1.381203,103.951296,2018
"PHOTO_1597265070352162","Apidae","Apini","Apis","Apis dorsata",1.304563,103.80266,2018
"PHOTO_1682749995137002","Apidae","Apini","Apis","Apis dorsata",1.38303,103.8017,2018
"PHOTO_1929509420461057","Apidae","Apini","Apis","Apis dorsata",1.39238,103.88731,2018
"PHOTO_2118402951571702","Apidae","Apini","Apis","Apis dorsata",1.370546,103.746462,2019
"PHOTO_2139324829479514","Apidae","Apini","Apis","Apis dorsata",1.3451,103.824611,2019
"PHOTO_2128022570609740","Apidae","Apini","Apis","Apis dorsata",1.35716,103.82102,2019
"PHOTO_2315643931847602","Apidae","Apini","Apis","Apis dorsata",1.35716,103.82102,2019
"PHOTO_2428149747263686","Apidae","Apini","Apis","Apis dorsata",1.415881,103.7886,2019
"PHOTO_2452462384832422","Apidae","Apini","Apis","Apis dorsata",1.385731,103.82101,2019
"PHOTO_3685897611488887","Apidae","Apini","Apis","Apis dorsata",1.381203,103.951296,2021
"PHOTO_3740247979387183","Apidae","Apini","Apis","Apis dorsata",1.32055,103.88869,2021
"PHOTO_4032950860116892","Apidae","Apini","Apis","Apis dorsata",1.411189,103.959314,2021
"PHOTO_1770555339689800","Apidae","Apini","Apis","Apis andreniformis",1.279088,103.799606,2016
"PHOTO_1839942352751098","Apidae","Apini","Apis","Apis andreniformis",1.279088,103.799606,2016
"PHOTO_1787783484633652","Apidae","Apini","Apis","Apis andreniformis",1.4533,103.82457,2018
"PHOTO_1601008453311157","Apidae","Apini","Apis","Apis andreniformis",1.31312,103.78001,2018
"PHOTO_349120035575533","Apidae","Apini","Apis","Apis andreniformis",1.369299,103.847028,2018
"PHOTO_10216507485825071","Apidae","Apini","Apis","Apis andreniformis",1.31691,103.89847,2018
"PHOTO_10156335790497767","Apidae","Apini","Apis","Apis andreniformis",1.35019,103.77602,2018
"PHOTO_1668804193198249","Apidae","Apini","Apis","Apis andreniformis",1.31691,103.89847,2018
"PHOTO_1687233384688663","Apidae","Apini","Apis","Apis andreniformis",1.31312,103.78001,2018
"PHOTO_1906732846072048","Apidae","Apini","Apis","Apis andreniformis",1.30078,103.91218,2018
"PHOTO_2157407007671296","Apidae","Apini","Apis","Apis andreniformis",1.41571,103.87736,2019
"PHOTO_2405656902846304","Apidae","Apini","Apis","Apis andreniformis",1.381203,103.951296,2019
"PHOTO_2415063721905622","Apidae","Apini","Apis","Apis andreniformis",1.37916,103.84191,2019
"PHOTO_2425463257532335","Apidae","Apini","Apis","Apis andreniformis",1.31312,103.78001,2019
"PHOTO_3539992629412720","Apidae","Apini","Apis","Apis andreniformis",1.41674,103.83848,2020
"PHOTO_3727669450645036","Apidae","Apini","Apis","Apis andreniformis",1.37436,103.948,2021
"PHOTO_3735050599906921","Apidae","Apini","Apis","Apis andreniformis",1.36896,103.8266,2021
"PHOTO_3953553094723336","Apidae","Apini","Apis","Apis andreniformis",1.384448,103.746698,2021
"PHOTO_4020166911395287","Apidae","Apini","Apis","Apis andreniformis",1.31312,103.78001,2020
"PHOTO_1772344786177522","Apidae","Apini","Apis","Apis florea",1.299459,103.858965,2018
"PHOTO_1580632362015433","Apidae","Apini","Apis","Apis florea",1.28086,103.863276,2018
"PHOTO_1823976704347663","Apidae","Apini","Apis","Apis florea",1.220167,103.847,2018
"PHOTO_1906732846072048","Apidae","Apini","Apis","Apis florea",1.30078,103.91218,2018
"PHOTO_1985356651543000","Apidae","Apini","Apis","Apis florea",1.409962,103.858017,2018
